"CCA","Ind.Count.Total","Ind.Count.Total.5..","Ind.Count.Total.95..","HH.Count.Total","HH.Count.Total.5..","HH.Count.Total.95..","Ind25.Count.Total","Ind25.Count.Total.5..","Ind25.Count.Total.95..","LF.Count.Total","LF.Count.Total.5..","LF.Count.Total.95..","Ind.Count.White","Ind.Count.White.5..","Ind.Count.White.95..","Ind.Count.BlackAA","Ind.Count.BlackAA.5..","Ind.Count.BlackAA.95..","Ind.Count.Hispanic","Ind.Count.Hispanic.5..","Ind.Count.Hispanic.95..","Ind.Count.100FPL","Ind.Count.100FPL.5..","Ind.Count.100FPL.95..","LF.Count.Employed","LF.Count.Employed.5..","LF.Count.Employed.95..","LF.Count.Unemployed","LF.Count.Unemployed.5..","LF.Count.Unemployed.95..","Ind25.Count.LessThanHS","Ind25.Count.LessThanHS.5..","Ind25.Count.LessThanHS.95..","Ind25.Count.HSGrad","Ind25.Count.HSGrad.5..","Ind25.Count.HSGrad.95..","Ind25.Count.Bachelors","Ind25.Count.Bachelors.5..","Ind25.Count.Bachelors.95.."
"EAST SIDE",23191.6959145092,20506.1054186113,25877.286410407,23182.0243415742,20496.4338456764,25867.614837472,13423.3277705756,11868.606553248,14978.0489879033,10567.4188790871,9173.95759012322,11960.8801680509,19266.2021523919,16388.8864344257,22143.5178703581,952.239466515483,124.530482007427,1779.94845102354,18536.4248105809,15736.6937295165,21336.1558916453,23168.6959145092,20474.1062194365,25863.2856095818,8985.03952396183,7729.45899616213,10240.6200517615,1582.37935512522,939.074937341342,2225.6837729091,4020.12293924502,2927.65567925579,5112.59019923424,4933.64703527598,3874.09651110109,5993.19755945087,1640.74507587907,1033.03612458966,2248.45402716847
"EDGEWATER",54873,48617.5566624873,61128.4433375127,51818,45740.5408239446,57895.4591760554,42621,38123.4002346336,47118.5997653664,34108,29675.3944508961,38540.6055491039,36854,31084.5134179271,42623.4865820729,7947,4422.31365653256,11471.6863434674,8918,4914.35627822876,12921.6437217712,52011,45945.5397561777,58076.4602438223,31304,27239.3617060439,35368.6382939561,2804,1138.14824164064,4469.85175835936,3670,1711.17431294958,5628.82568705042,6042,3608.21657872348,8475.78342127652,23300,19604.3288722112,26995.6711277888
"EDISON PARK",11356,10437.0817731499,12274.9182268501,11351,10432.0817731499,12269.9182268501,8463,7839.05552387981,9086.94447612019,6242,5568.05997290864,6915.94002709136,10814,9798.09040426584,11829.9095957342,120,-92.9810471371815,332.981047137182,1063,703.032033007581,1422.96796699242,11356,10437.0817731499,12274.9182268501,5980,5343.05668062731,6616.94331937269,262,100.014414853411,423.985585146588,438,195.021622280117,680.978377719883,1741,1278.04119800697,2203.95880199303,3927,3366.04991810348,4487.95008189652
"ENGLEWOOD",26108.6663628077,21929.5751727122,30287.7575529031,25979.6663628077,21805.5747278093,30153.757997806,15567.3372835005,13253.4894062957,17881.1851607052,9816.44393801276,7897.39137523995,11735.4965007856,311,-80.9049608835377,702.904960883538,24856.7329079307,20652.7259769821,29060.7398388794,681.294439380128,-132.741598444467,1495.33047720472,26012.6663628077,21844.5741939258,30180.7585316895,6343.23792160438,4854.97746996275,7831.498373246,3473.20601640839,2130.01469721555,4816.39733560122,4004.53965360073,2680.09507090423,5328.98423629723,5627.4129443938,4139.10874094823,7115.71714783938,971.256153144941,424.611088147993,1517.90121814189
"FOREST GLEN",18437,17083.1204797007,19790.8795202993,18404,17053.120212759,19754.879787241,12694,11851.0750106261,13536.9249893739,9270,8388.07848086857,10151.9215191314,14475,13268.107399556,15681.892600444,177,-56.9791785450727,410.979178545073,2204,1413.0703836361,2994.9296163639,18437,17083.1204797007,19790.8795202993,8749,7895.07598941243,9602.92401058757,521,218.026961114714,823.973038885285,691,393.026516211831,988.973483788168,2089,1416.05988392806,2761.94011607194,7434,6604.07385387859,8263.92614612141
"FULLER PARK",2511.67558910414,2094.79237347867,2928.5588047296,2502.64160546663,2085.75838984116,2919.52482109209,1754.98314946577,1490.55773039612,2019.40856853542,1018.90410618177,798.637266105815,1239.17094625773,146.113275303186,52.5617361423473,239.664814464025,2269.51768986896,1901.28855070567,2637.74682903225,171.752518353034,23.1626459993837,320.342390706685,2491.67558910414,2073.79246245925,2909.55871574903,708.495118532483,523.11364091772,893.876596147246,310.408987649291,209.534239760279,411.283735538302,435.414910087227,316.28419368555,554.545626488904,615.86483954962,451.533714083939,780.195965015301,201.062598463103,100.36642983301,301.758767093197
"GAGE PARK",40911.3457959677,36926.2302435606,44896.4613483749,40857.2993348475,36876.183426518,44838.415243177,23099.4425504184,20583.5588251527,25615.3262756842,19375.288670706,16763.7709003562,21986.8064410558,17164.7411879817,13014.743773287,21314.7386026765,1416.90378910189,656.705714120214,2177.10186408357,37763.9317095285,33623.7126884798,41904.1507305772,40500.1523707291,36545.0239695348,44455.2807719235,16402.2209933882,13999.6368607671,18804.8051260094,2973.06767731776,1954.86227522769,3991.27307940784,10287.1003610886,8304.74133894351,12269.4593832337,7751.57017034917,6076.86753059689,9426.27281010146,1345.5161619732,661.762820067469,2029.26950387893
"GARFIELD RIDGE",35587.4714783116,32522.4654880148,38652.4774686084,35346.4641992894,32299.1363624918,38393.792036087,24339.0812707323,22268.3058542525,26409.856687212,17977.2536804469,16056.0900123263,19898.4173485674,26592.6368591506,23047.4199616822,30137.853756619,1524.16209947856,912.299553800626,2136.02464515649,16595.8362402796,13573.8383125747,19617.8341679845,35292.9881301245,32252.6018117059,38333.3744485432,16024.1081631451,14208.7587278934,17839.4575983968,1953.1455173018,1029.2741018381,2877.0169327655,4577.90508721896,3150.15781793072,6005.65235650721,7657.45352969433,5997.62552382283,9317.28153556582,5158.6859072041,3859.56285040891,6457.80896399929
"GRAND BOULEVARD",22750,19101.3246901241,26398.6753098759,22462,18847.3216647845,26076.6783352156,14775,12549.1980707635,17000.8019292365,10385,8319.18383387129,12450.8161661287,932,157.068959946875,1706.93104005313,20730,17093.3236223572,24366.6763776428,574,5.05062994809262,1142.94937005191,22425,18835.31944027,26014.68055973,8091,6320.15758460118,9861.84241539881,2294,1162.10072601272,3425.89927398727,2321,1377.08399766432,3264.91600233568,3475,2229.11086979846,4720.88913020154,3967,2829.10125989619,5104.89874010381
"GREATER GRAND CROSSING",32358.3014048531,27807.9027619896,36908.7000477167,31816.9366538953,27281.5259493083,36352.3473584822,20429.5011494253,17664.7280253361,23194.2742735145,14048.841890166,11545.8094588409,16551.8743214912,498.246743295019,-51.8330415650568,1048.32652815509,31251.5862068966,26667.1691353431,35836.00327845,358.092975734355,-62.0198306302162,778.205782098926,31802.0224776501,27278.6214323109,36325.4235229892,10685.4615581098,8608.59503433964,12762.32808188,3363.38033205619,1967.92162549152,4758.83903862087,3038.13001277139,1846.84624043491,4229.41378510787,6193.74865900383,4467.43025082928,7920.06706717838,3151.61634738186,1946.1836425667,4357.04905219703
