"tractID","Ind.Count.Total","Ind.Count.Total.5..","Ind.Count.Total.95..","HH.Count.Total","HH.Count.Total.5..","HH.Count.Total.95..","Ind25.Count.Total","Ind25.Count.Total.5..","Ind25.Count.Total.95..","LF.Count.Total","LF.Count.Total.5..","LF.Count.Total.95..","Ind.Count.White","Ind.Count.White.5..","Ind.Count.White.95..","Ind.Count.BlackAA","Ind.Count.BlackAA.5..","Ind.Count.BlackAA.95..","Ind.Count.Hispanic","Ind.Count.Hispanic.5..","Ind.Count.Hispanic.95..","Ind.Count.100FPL","Ind.Count.100FPL.5..","Ind.Count.100FPL.95..","LF.Count.Employed","LF.Count.Employed.5..","LF.Count.Employed.95..","LF.Count.Unemployed","LF.Count.Unemployed.5..","LF.Count.Unemployed.95..","Ind25.Count.LessThanHS","Ind25.Count.LessThanHS.5..","Ind25.Count.LessThanHS.95..","Ind25.Count.HSGrad","Ind25.Count.HSGrad.5..","Ind25.Count.HSGrad.95..","Ind25.Count.Bachelors","Ind25.Count.Bachelors.5..","Ind25.Count.Bachelors.95.."
"804405",3210,2799.03657101699,3620.96342898301,3168,2752.03701591987,3583.96298408013,1818,1617.0178850959,2018.9821149041,1601,1376.02002062974,1825.97997937026,1381,1024.03176606585,1737.96823393415,465,131.029719512589,798.970280487411,1891,1573.02829582336,2208.97170417664,3168,2752.03701591987,3583.96298408013,1423,1173.02224514415,1672.97775485585,178,84.0083641742016,271.991635825798,587,439.013169125339,734.986830874661,642,488.013703008798,795.986296991202,224,146.006940484976,301.993059515024
"804406",6621,6004.05490101577,7237.94509898423,6579,5962.05490101577,7195.94509898423,4175,3782.03496936661,4567.96503063339,3591,3156.03870655083,4025.96129344917,3140,2668.04199883216,3611.95800116784,207,89.0104997080403,324.98950029196,3185,2490.06184150075,3879.93815849925,6621,6004.05490101577,7237.94509898423,3306,2871.03870655083,3740.96129344917,285,171.010143785734,398.989856214266,1043,674.03283383277,1411.96716616723,1088,879.018596940512,1296.98140305949,987,788.017707134746,1185.98229286525
"804505",3570,3208.03221096873,3931.96778903127,3570,3208.03221096873,3931.96778903127,2530,2275.02269004704,2784.97730995296,2368,2058.02758397875,2677.97241602125,2915,2548.03265587162,3281.96734412838,88,-23.9900341754193,199.990034175419,656,404.022423105306,907.977576894694,3561,3201.03203300758,3920.96796699242,2171,1881.02580436722,2460.97419563278,197,94.0091649993911,299.990835000609,146,65.0072074267057,226.992792573294,807,638.015037717448,975.984962282552,803,649.013703008798,956.986296991202
"804506",5114,4714.03559223065,5513.96440776935,5054,4661.03496936661,5446.96503063339,3635,3405.02046553262,3864.97953446738,2802,2563.02126635781,3040.97873364219,4233,3844.0346134443,4621.9653865557,163,-2.98522922428222,328.985229224282,443,248.01735121244,637.98264878756,5054,4661.03496936661,5446.96503063339,2735,2484.02233412473,2985.97766587527,67,21.0040931065242,112.995906893476,241,127.010143785734,354.989856214266,586,467.010588688617,704.989411311383,1711,1434.02464761972,1987.97535238028
"804507",12762,12038.0644219375,13485.9355780625,12757,12033.0644219375,13480.9355780625,8753,8189.05018504521,9316.94981495479,7230,6661.05062994809,7798.94937005191,8363,7670.06166353959,9055.93833646041,238,87.0134360670686,388.986563932931,1201,798.035859172375,1603.96414082762,12762,12038.0644219375,13485.9355780625,6610,6134.04235475447,7085.95764524553,620,311.027494998173,928.972505001827,333,162.015215678601,503.984784321399,1331,983.030965240661,1678.96903475934,4400,3719.06059577267,5080.93940422733
"804508",2478,2199.02482558088,2756.97517441912,2478,2199.02482558088,2756.97517441912,1534,1356.01583854264,1711.98416145736,1271,1057.0190418434,1484.9809581566,1073,841.020643493774,1304.97935650623,235,69.0147707757178,400.985229224282,1054,799.022690047036,1308.97730995296,2478,2199.02482558088,2756.97517441912,1090,874.019219804548,1305.98078019545,181,83.0087200965081,278.991279903492,336,215.01076664977,456.98923335023,368,267.008987038238,468.991012961762,383,287.008542135355,478.991457864645
"804509",5623,5035.05232057905,6210.94767942095,5427,4851.05125281213,6002.94874718787,3628,3216.03665999756,4039.96334000244,3172,2673.04440130773,3670.95559869227,2750,2314.0387955314,3185.9612044686,68,-8.99314849560081,144.993148495601,2875,2375.04449028831,3374.95550971169,5427,4851.05125281213,6002.94874718787,2925,2439.04324456023,3410.95675543977,247,131.010321746887,362.989678253113,901,619.025092522605,1182.9749074774,1223,957.023668833379,1488.97633116662,579,406.015393639754,751.984606360246
"804510",6708,6322.03434650257,7093.96565349743,6708,6322.03434650257,7093.96565349743,3855,3541.02793990106,4168.97206009894,3362,2984.03363465796,3739.96636534204,1937,1374.05009606463,2499.94990393537,415,97.028295823363,732.971704176637,5010,4495.04582499696,5524.95417500304,6688,6303.034257522,7072.965742478,3008,2650.03185504643,3365.96814495357,354,154.017796115323,553.982203884677,1888,1497.03479140546,2278.96520859454,1109,832.024647619722,1385.97535238028,246,158.007830290742,333.992169709258
"804511",2839,2524.02802888163,3153.97197111837,2839,2524.02802888163,3153.97197111837,1720,1576.01281320303,1863.98718679697,1422,1270.01352504765,1573.98647495235,808,614.017262231863,1001.98273776814,102,16.0076523295887,187.992347670411,1767,1410.03176606585,2123.96823393415,2839,2524.02802888163,3153.97197111837,1322,1173.01325810592,1470.98674189408,100,55.0040041259476,144.995995874052,548,389.014147911681,706.985852088319,393,291.009076018815,494.990923981185,470,369.008987038238,570.991012961762
"804603",5257,4686.05080790925,5827.94919209075,5257,4686.05080790925,5827.94919209075,3798,3449.03105422124,4146.96894577876,3106,2742.03238892989,3469.96761107011,2997,2483.04573601638,3510.95426398362,240,105.012012377843,374.987987622157,1133,653.042710676774,1612.95728932323,5257,4686.05080790925,5827.94919209075,2966,2617.03105422124,3314.96894577876,140,29.009876844004,250.990123155996,363,206.013969950528,519.986030049472,851,607.021711260694,1094.97828873931,1602,1293.02749499817,1910.97250500183
