"tractID","CCA","blocks","pop","HH","pctPop","pctHH"
"17031140701","ALBANY PARK",27,1436,561,1,1
"17031140702","ALBANY PARK",51,2723,1210,1,1
"17031140800","ALBANY PARK",100,4753,2126,1,1
"17031150200","PORTAGE PARK",155,10549,4620,1,1
"17031150300","PORTAGE PARK",124,6259,2932,1,1
"17031150401","PORTAGE PARK",83,5769,2796,1,1
"17031150402","PORTAGE PARK",76,5881,2987,1,1
"17031150501","PORTAGE PARK",41,2419,1187,0.988961569910057,0.991645781119465
"17031150501",NA,2,27,10,0.0110384300899428,0.00835421888053467
"17031150502","PORTAGE PARK",46,2431,1039,1,1
"17031150600","PORTAGE PARK",73,4535,2058,1,1
"17031150700","PORTAGE PARK",69,3492,1471,1,1
"17031150800","PORTAGE PARK",73,6676,3217,1,1
"17031151001","PORTAGE PARK",18,897,345,1,1
"17031151002","PORTAGE PARK",55,3182,1495,1,1
"17031151100","PORTAGE PARK",67,4467,1902,1,1
"17031151200","PORTAGE PARK",63,2700,884,1,1
"17031160100","IRVING PARK",46,2210,1034,1,1
"17031160200","IRVING PARK",64,4169,1911,0.983718735252478,0.985051546391753
"17031160200","PORTAGE PARK",2,69,29,0.0162812647475224,0.0149484536082474
"17031160300","IRVING PARK",37,2824,1327,1,1
"17031160400","IRVING PARK",90,4828,2049,1,1
"17031160501","IRVING PARK",39,2213,1122,1,1
"17031160502","IRVING PARK",41,1808,871,1,1
"17031160601","IRVING PARK",38,1633,692,1,1
"17031160602","IRVING PARK",42,1992,887,1,1
"17031160700","IRVING PARK",79,4113,1660,1,1
"17031160800","IRVING PARK",75,3963,1654,1,1
"17031160900","IRVING PARK",68,3848,1663,1,1
"17031161000","IRVING PARK",40,2842,1276,1,1
"17031161100","IRVING PARK",37,2916,1284,1,1
"17031161200","IRVING PARK",45,2600,1232,1,1
"17031161300","IRVING PARK",78,4206,1637,1,1
"17031170100","DUNNING",10,567,276,1,1
"17031170200","DUNNING",63,3677,1659,1,1
"17031170300","DUNNING",90,5195,1908,1,1
"17031170400","DUNNING",93,6166,3096,1,1
