BLOCK,TRACT,CCA,TR_POP_RAT,TR_HH_RAT,TR_HU_RAT
170310105013009,17031010501,Rogers Park,0.018088487,0.014827737,0.014225298
170310105013002,17031010501,Rogers Park,0.020043999,0.020061055,0.017685506
170310105012000,17031010501,Rogers Park,0.043510144,0.04491932,0.047289504
170310105012007,17031010501,Rogers Park,0.053287705,0.053205408,0.056901192
170310105012001,17031010501,Rogers Park,0.035443657,0.035324902,0.034217609
170310105013005,17031010501,Rogers Park,0.018577365,0.026166594,0.028066128
170310105011001,17031010501,Rogers Park,0.060865314,0.058874836,0.056516724
170310105012002,17031010501,Rogers Park,0.0444879,0.04143044,0.040369089
170310105013003,17031010501,Rogers Park,0.052309949,0.075010903,0.06651288
170310105013000,17031010501,Rogers Park,0.063554143,0.067597034,0.076893502
170310105011000,17031010501,Rogers Park,0.039354681,0.035324902,0.036524414
170310105012003,17031010501,Rogers Park,0.02224395,0.027474924,0.028450596
170310105013006,17031010501,Rogers Park,0.017599609,0.012647187,0.013071895
170310105013004,17031010501,Rogers Park,0.031777072,0.040122111,0.042291426
170310105013007,17031010501,Rogers Park,0.040087998,0.0440471,0.043829296
170310105013010,17031010501,Rogers Park,0.018821804,0.013955517,0.01230296
170310105011002,17031010501,Rogers Park,0.04204351,0.051460968,0.065359477
170310105012006,17031010501,Rogers Park,0.050354437,0.050588748,0.049211842
170310105012004,17031010501,Rogers Park,0.048887802,0.052769298,0.048058439
170310105012008,17031010501,Rogers Park,0.016866292,0.014391627,0.013456363
170310105013008,17031010501,Rogers Park,0.013444146,0.012211077,0.011534025
170310105022002,17031010502,Rogers Park,0.048049016,0.043349169,0.03892821
170310105021007,17031010502,Rogers Park,0.026765559,0.028503563,0.026794742
170310105022008,17031010502,Rogers Park,0.035472428,0.049881235,0.047017189
170310105021000,17031010502,Rogers Park,0.077716866,0.06888361,0.07330637
170310105021005,17031010502,Rogers Park,0.043534344,0.033847981,0.031344793
170310105022009,17031010502,Rogers Park,0.047081587,0.033847981,0.03033367
170310105021001,17031010502,Rogers Park,0.027088036,0.0195962,0.020222447
170310105021010,17031010502,Rogers Park,0,0,0
